0.0168498	99	0	2.077818	7.431429	1	0	0	0
0.3596615	98	0	1.940918	12.79033	1	0	0	0
0.702695	98	0	1.85832	18.91926	1	0	0	0
1.043242	98	0	1.816241	25.72823	1	0	0	0
1.382229	98	0	1.798244	33.18689	1	0	0	0
1.730826	97	0	1.801678	41.52616	1	0	0	0
2.073557	97	0.02891299	1.80419	50.34658	0.9992397	-7.736819E-05	0.003425106	-0.03883704
2.419414	97	0.24734	1.801423	59.82837	0.9943365	-0.001658833	0.01645049	-0.1049832
2.754818	97	0.6942736	1.801138	69.53783	0.9941074	-0.00301186	0.02851202	-0.1045395
3.102355	97	1.468478	1.796575	80.08319	0.9862111	-0.006626924	0.04427536	-0.159322
3.443962	97	2.901218	1.799468	90.8372	0.9423346	-0.02595633	0.07842539	-0.3243166
3.79493	97	5.425652	1.807284	102.1379	0.9129024	-0.05113049	0.1231925	-0.38577
4.136168	97	9.439122	1.794111	113.0587	0.845138	-0.1059041	0.1842203	-0.4904987
4.478241	96	15.43381	1.821305	123.4763	0.8227699	-0.1508734	0.2560033	-0.4845093
4.81374	96	23.13694	1.826244	132.821	0.7992566	-0.1898306	0.3225248	-0.4702457
5.153891	96	32.6005	1.821886	141.0987	0.7704894	-0.2273053	0.386222	-0.4533333
5.498817	96	43.29069	1.81531	147.7451	0.7359331	-0.26384	0.4485816	-0.4330885
5.838849	96	54.66412	1.809624	152.3946	0.6960975	-0.299083	0.508201	-0.4095479
6.181472	96	67.0275	1.805497	155.2096	0.6523534	-0.3314648	0.5632554	-0.3838092
6.525938	95	80.02464	1.802851	156.0193	0.6050628	-0.3611822	0.6137757	-0.3559859
6.859689	95	92.82332	1.801355	154.8091	0.5564673	-0.3872873	0.6581532	-0.3273944
7.195148	95	105.5623	1.800544	151.6107	0.5052256	-0.4108812	0.6982611	-0.2972459
7.538068	95	118.1542	1.807009	146.3959	0.4618946	-0.4115315	0.7430808	-0.2551984
7.878829	95	130.0163	1.801462	139.4971	0.4072191	-0.4387126	0.7661701	-0.2338531
8.222091	95	140.2835	1.800725	131.2915	0.343311	-0.4652931	0.7903555	-0.2024306
